name,genre,studio,country,duration,age_limit,release,rental_duration,rating
"An Interview with God","Drama","Big Indie Pictures","USA",97,12,2018,27,5.8
"Instant Family","Comedy","Paramount Pictures","USA",118,12,2018,62,7.3
"Happy Death Day 2U","Horrors","Universal Pictures","USA",100,16,2018,28,6.2
"Swoon","Melodrama","Roy Andersson Filmproduktion AB","Sweden",104,16,2018,13,5.8
"En liberté!","Comedy","Les Films Pelléas","France",107,16,2018,6,6.2
"Cold Pursuit","Crime","Summit Entertainment","United Kingdom",118,16,2019,20,6.2
"Madonna and the Breakfast Club","Documentary","Universal Pictures","USA",105,12,2018,6,6.5
"Transit","Drama","Warner Brothers Pictures","Germany",91,12,2018,13,6.9
"Vice","Drama","Mirror Productions","USA",132,16,2018,41,7.2
"Curiosa","Melodrama","Vertigo Média","France",107,16,2018,27,5.4
"The Queen's Corgi","Animation","Les Films Pelléas","Belgium",92,0,2018,20,4.8
"The Informer","Crime","Thefyzz","United Kingdom",113,16,2019,6,6.6
"Pet Sematary","Horrors","Paramount Pictures","USA",101,16,2019,213,5.7
"The Secret Life of Pets 2","Adventure","Universal Pictures","USA",86,0,2018,116,6.5
"Spies in Disguise","Animation","20th Century Fox","USA",102,0,2019,56,6.8
"Artemis Fowl","Adventure","Walt Disney Pictures","USA",91,0,2018,27,4.2
"BrightBurn","Horrors","Sony Pictures Entertainment","USA",90,16,2019,20,6.1
"The Prodigy","Horrors","Orion Pictures","USA",92,16,2019,6,5.9
"Men in Black International","Adventure","Sony Pictures Entertainment","USA",115,12,2019,6,5.6
